Zone (string),Apartment_Type (string),Floor Height (m),L(a)eq (dB),Day/Night(string),Total Surface (sqm),Element: Materials (string),Absorption Coefficient by Area (m),RT60 (s),n. of sound sources (int),Average Sound Source distance (m),SPL (dB),Barrier distance (m),Barrier Height (m),SPL after barrier (dB),SPL after fa̤ade dampening (dB),Comfort index (float),Absorption_norm,RT60_norm,SPL_norm,ComfortIndex_v2,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,8.6637,8.3994,0.8,0.0,8.3994,-4.2811,0.2765,0.7069,0.6351,0.146,0.8082,,,,,,
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,8.7471,7.1606,0.8,0.0,7.1606,-1.3164,0.3883,0.8288,0.5158,0.204,0.9034,, ,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,18.901,17.7279,0.8,0.0,17.7279,7.2868,0.3756,0.4033,0.1085,0.3726,0.7634,,,,,,
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,10.3002,9.5474,0.8,0.0,9.5474,0.7601,0.3704,0.4492,0.5511,0.2447,0.6555,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,10.0546,7.0701,1.28,7.5,2.0294,-10.6547,0.2765,0.7069,0.6351,0.0211,0.8614,,,,,,
Roadside-V3,1Bed,6,61.05,day,90.0,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.26,1.05,1,19.1376,35.416,1.28,7.5,30.4488,20.2345,0.4047,0.0,1.0,0.6263,0.0465,,,,,, 
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,9.6367,6.4903,1.28,7.5,1.6367,-6.8288,0.3883,0.8288,0.5158,0.096,0.9494,,,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,20.4572,17.0447,1.28,7.5,12.36,4.6215,0.3223,0.4033,0.1085,0.3204,0.7857,,,,,,
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,11.4411,8.7463,1.28,7.5,4.9144,0.2127,0.3595,0.4492,0.5511,0.234,0.66,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,11.0449,6.528,1.36,4.8,1.6821,-11.2311,0.2765,0.7069,0.6351,0.0098,0.8662,,,,,,
